art_style,painting,utterance
Realism,ivan-shishkin_pine-forest-1884,A forest is growing by some water but trees are being cut down.
Ukiyo_e,utagawa-kuniyoshi_oniwakamaru-preparing-to-kill-a-giant-carp,People from a Japanese village are trying to catch a large fish.
Expressionism,max-pechstein_untitled-1920,A drawing with a few sailboats on the rippled water. Plus some people on the boats and walking around.
Baroque,canaletto_campo-santi-apostoli,A cityscape with buildings overlooking a sparsely peopled square.
Rococo,bernardo-bellotto_mniszech-palace-in-warsaw-1779,A busy city street filled with people riding horses and a carriage.
Post_Impressionism,augustus-john_landscape-at-chirk-clwyd-1912,"Tall trees, some with colorful leaves in a forest setting"
Art_Nouveau_Modern,nicholas-roerich_varangian-warrior-1911,This looks like a pencil sketch of a mediaeval warrior on canvas material.
Post_Impressionism,piet-mondrian_triangulated-farmhouse-facade-with-polder-in-blue,A wooden house with a path and hand raile up to it and a large tree behind it.
Impressionism,claude-monet_the-garden,Two women wearing white sit on a lawn surrounded by trees and plants.
Impressionism,konstantin-korovin_portrait-of-feodor-chaliapin-1905,A man in a grey suit relaxing on a red chair near a window.
Rococo,maurice-quentin-de-la-tour_portrait-of-philibert-orry,A man with a gray wig on his head sitting down holding a book in his hands.
Naive_Art_Primitivism,grandma-moses_christmas(2),Four people lying in a bed under a patched quilt with an area rug on the floor as well as a chair
Northern_Renaissance,hieronymus-bosch_two-male-heads,The couple are very bored and are looking at each other.
Expressionism,amedeo-modigliani_nude-seating-on-a-sofa-1917,"A woman is sitting down, covering her naked breasts with her arm"
Early_Renaissance,domenico-ghirlandaio_the-calling-of-st-peter-and-st-andrew-1481,Christ is surrounded by people at the edge of a river.
Art_Nouveau_Modern,raphael-kirchner_marionettes-3,A woman is doing some puppetry over a wall.
High_Renaissance,michelangelo_the-risen-christ,"A naked man stands stretched out, whit his upermost hand seeming to disolve."
Expressionism,max-beckmann_perseus-1941,A series of three scenes with people in various poses.
Fauvism,henri-matisse_marguerite-1906,A woman in a highnecked red and white dress with a red bow in her hair.
Minimalism,rodolfo-arico_progetto-b-v-1973,A purple hued rectangle is framed by a white border.
Romanticism,jan-matejko_mieszko-ii-lambert,A king in toga with a crown upon his head clutches a cross in one hand.
Impressionism,pierre-auguste-renoir_portrait-of-a-young-girl-1895,A woman looking off to the side with her hair in an up do.
Contemporary_Realism,neil-welliver_untitled-two-figures-with-lilies,Two women casually sit next to and in a pond while lily pads float nearby
Abstract_Expressionism,robert-goodnough_running-horses,A mosaic of horses running freely and with joy
Art_Nouveau_Modern,henri-de-toulouse-lautrec_jardin-de-paris-may-belfort-plakat-1883,"A woman with a red dress, elaberate head dress, and ruffle drapped sleves cradles a small, black cat."
Art_Nouveau_Modern,nicholas-roerich_song-of-the-morning-1920,A woman in a red dress is playing with a yak.
Art_Nouveau_Modern,eugã¨ne-grasset_esclarmonde,"A man races on horseback through a forest, led by hounds."
Baroque,paul-bril_r-mische-ruinenlandschaft,"village scene of various people talking, working, or traveling through with huge columns in the background"
Impressionism,camille-pissarro_portrait-of-madame-felicie-vellay-estruc,A dark haired woman wearing dark clothes with a blue accent scarf is looking sideways.
Impressionism,samuel-mutzner_vedut-vene-ian,Buildings on the side stand under a vast sky with a tiny man appears to walk up stairs towards them.
Realism,theodore-rousseau_mountainous-landscape-in-cantal-1830,"Hills rise over a meadow, with a small patch of trees in the foreground."
Cubism,vicente-manansala_philippines-mother-and-child-1965,A woman sitting holding a child near a lamp on a shelf.
